Time resolution is 1 ps
OP=2 | A=112818957 B=1189058957 | Y=112818956 | C=0 Z=0 S=0
OP=3 | A=112818957 B=1189058957 | Y=112818957 | C=0 Z=0 S=0
OP=4 | A=112818957 B=1189058957 | Y=110696717 | C=0 Z=0 S=0
OP=5 | A=112818957 B=1189058957 | Y=1191181197 | C=0 Z=0 S=0
OP=6 | A=112818957 B=1189058957 | Y=1080484480 | C=0 Z=0 S=0
OP=7 | A=112818957 B=1189058957 | Y=4182148338 | C=0 Z=0 S=1
OP=8 | A=112818957 B=1189058957 | Y=225637914 | C=0 Z=0 S=0
OP=9 | A=112818957 B=1189058957 | Y=56409478 | C=0 Z=0 S=0
OP=a | A=112818957 B=1189058957 | Y=56409478 | C=0 Z=0 S=0
OP=b | A=112818957 B=1189058957 | Y=225637914 | C=0 Z=0 S=0
OP=c | A=112818957 B=1189058957 | Y=112818957 | C=0 Z=0 S=0
OP=d | A=112818957 B=1189058957 | Y=1189058957 | C=0 Z=0 S=0
OP=e | A=112818957 B=1189058957 | Y=0 | C=0 Z=1 S=0
OP=f | A=112818957 B=1189058957 | Y=0 | C=0 Z=1 S=0
OP=0 | A=2999092325 B=2302104082 | Y=1006229111 | C=1 Z=0 S=0
OP=1 | A=2999092325 B=2302104082 | Y=696988243 | C=0 Z=0 S=0
OP=2 | A=2999092325 B=2302104082 | Y=2999092324 | C=0 Z=0 S=1
OP=3 | A=2999092325 B=2302104082 | Y=2999092325 | C=0 Z=0 S=1
